indicativo,nombre,altitud,provincia,num_records,avg_tmin,avg_tmax,avg_prec,avg_velmedia,std_tmed,longest_gap_days
9814X,TORLA - ORDESA,1076,HUESCA,3517,6.419568345323741,21.160604316546763,3.7014642549526267,1.742018244013683,7.18057831237299,37
9839V,"CERLER, COGULLA",2374,HUESCA,2240,1.5335714285714286,7.970580357142858,2.378338687471317,3.5016562220232768,6.499646896498185,0
9843A,SEIRA,825,HUESCA,4017,5.750698951572641,19.587066167290885,2.8033626097867006,1.025280199252802,6.959416628825266,2
9855E,"CAPELLA, LAGUARRES",600,HUESCA,4008,6.6462443665498245,20.3459324155194,1.7633541927409262,1.94751312171957,7.509776722160271,4
9866C,BARBASTRO,305,HUESCA,4016,7.818122653316645,22.42191095547774,1.261120884644383,1.3870887337986042,7.620829785363649,4
9894Y,SARIÑENA,300,HUESCA,3999,9.180261503645964,21.77566616390146,0.9917670682730925,2.5384789156626506,7.574996687745587,10
9898,"HUESCA, AEROPUERTO",546,HUESCA,4018,9.115978098556496,20.841388750622205,1.3394023803494557,2.5545772886443223,7.554055941699602,0
9901X,HUESCA,463,HUESCA,4011,9.591591591591591,21.0448224112056,1.2816972131559126,,7.614511223918227,5
9908X,LANAJA,380,HUESCA,4000,9.771726041144005,20.893408521303254,0.9513154597845151,3.736518685728618,7.360272634029217,5
9911X,BALLOBAR,178,HUESCA,3995,9.750628772635816,22.247236180904522,0.8873115577889448,2.903243650993211,7.7022660459069545,7
9918Y,"TAMARITE DE LITERA, LA MELUSA",218,HUESCA,4005,8.053811206461383,22.142240726722175,0.9472918756268807,1.989568706118355,7.700323802783453,18
9924X,FRAGA,170,HUESCA,3998,10.875641025641025,22.869522613065325,0.9094277791782203,2.7471076458752517,7.778719654036092,6
9935X,VALDERROBRES,483,TERUEL,4016,7.338997005988024,21.033923671738588,1.3697075731067234,1.913160518444666,7.097534554139845,2
9946X,HORTA DE SANT JOAN,495,TARRAGONA,3729,10.134468775344688,21.13319816166532,1.4823208934895122,,6.940158787981519,259
9947X,LA POBLA DE MASSALUCA,370,TARRAGONA,4007,11.14435524335173,21.345960863020572,0.9419617834394904,3.6712462462462465,7.327475275960394,8
9961X,CABACÉS,363,TARRAGONA,4013,10.973806548362909,22.354636340914773,1.155483224837256,1.518225119077463,7.185086047214279,7
9975X,RASQUERA,112,TARRAGONA,3804,10.94210667381399,22.238488340927365,1.1942002118644066,2.9846908199400706,6.852430116394337,152
9981A,ESTACIÓN DE TORTOSA (ROQUETES),50,TARRAGONA,4018,13.158088601294175,24.75806371329019,1.4884325448401352,2.891835205992509,6.548167158980555,0
9988B,CAP DE VAQUÈIRA,2467,LLEIDA,2470,0.16086956521739135,6.399629972247919,,4.165305280528053,7.010648028116711,861
9990X,"NAUT ARAN, ARTIES",1161,LLEIDA,3631,4.110558112773303,16.494418872266973,2.456096020214782,1.038281020827222,7.207337981336125,126
9994X,BOSSÒST,722,LLEIDA,3358,5.762176788935658,17.827720986169574,2.396659850034083,1.5895366218236173,6.3735642465575815,147
9995Y,VALCARLOS/LUZAIDE,334,NAVARRA,3973,9.307892082702978,18.63103883005547,4.332657200811359,1.8323507180650036,5.6719273077837675,14
9998X,BELLO,1006,TERUEL,3944,4.518821096173734,18.87662371134021,0.9658756770698994,3.422046035805627,7.279094287285437,5
B013X,"ESCORCA, LLUC",490,ILLES BALEARS,4008,9.212263913371945,20.7641651976832,3.012655971479501,0.8770383540767082,6.282778911236087,4
B051A,"SÓLLER, PUERTO",5,BALEARES,1983,15.647251638930912,22.404034291477558,1.4398785425101213,2.8566599394550956,5.625951496181904,0
B087X,BANYALBUFAR,60,ILLES BALEARS,4010,15.736235175372192,21.75866767600303,1.4110722319420144,2.6991250000000004,5.533930593707311,5
B103B,ANDRATX - SANT ELM,52,BALEARES,2747,13.297273397199707,23.10593001841621,1.091874084919473,0.8510980966325036,5.875937134610192,12
B158X,"CALVIÀ, ES CAPDELLÀ",50,BALEARES,3977,12.087856415478615,23.691880885721556,1.2288753799392098,2.12818366311517,5.769461872034069,18
B228,"PALMA, PUERTO",3,BALEARES,4018,15.738244826726504,23.346498878644407,1.267256189994947,1.9530012453300123,5.7497034572640064,1
B236C,"PALMA, UNIVERSITAT",95,ILLES BALEARS,4012,10.517452229299362,23.997171253822632,1.4404542051410034,1.9427031093279838,6.155557346761035,6
B248,"SIERRA DE ALFABIA, BUNYOLA",1030,ILLES BALEARS,3990,10.223988662715795,16.660319505282143,2.1941981251583482,5.125403632694248,6.859239304430504,52
B275E,"SON BONET, AEROPUERTO",47,BALEARES,1634,14.458240396530359,24.00861748295102,0.988130381303813,3.0773374613003095,6.253317378043192,8
B278,"PALMA DE MALLORCA, AEROPUERTO",5,BALEARES,4018,12.027327028372325,23.485988053758092,1.2768409526416644,3.890057313730376,6.205849721313603,0
B301,"LLUCMAJOR, CAP BLANC",113,BALEARES,4011,14.454961065059031,23.07656367746797,1.015980024968789,3.549887246304184,5.618463487891746,6
B334X,LLUCMAJOR,140,BALEARES,4010,13.04680583501006,23.671403420523138,1.187881822734101,,6.400876767536534,6
B362X,"CAMPOS, CAN SION",40,ILLES BALEARS,4013,10.42634865134865,23.69213286713287,1.2545955421988482,2.342732049036777,6.182264250811715,3
B373X,"CAMPOS, SALINES LLEVANT",3,BALEARES,4008,11.72279504675259,22.753486609398685,1.0977249999999998,3.3006789036962534,6.153713640703721,6
B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",165,BALEARES,2157,15.944403158383652,21.003621169916435,0.9230244457077884,5.416759517177344,5.303833731750269,1283
B410B,SANTANYÍ,45,BALEARES,3881,14.302030869212022,22.779014351475762,1.118098076402059,2.9115813648293964,5.670123244949622,75
B434X,PORTOCOLOM,17,ILLES BALEARS,3847,15.004338679989482,22.439889560873,1.4286538966150617,3.6399235390497,5.450748218033011,54
B496X,SON SERVERA,25,ILLES BALEARS,4003,12.973599192327105,22.870519939424533,1.4969421278746524,2.7332411365350766,5.465865340070227,8
B526X,ARTÀ,110,ILLES BALEARS,4013,12.135453179769655,22.942638958437655,1.7771947527749747,,5.774264181212644,5
B569X,CAPDEPERA,57,BALEARES,3810,16.726951319010062,22.702501359434475,1.2390257104194857,4.657296715131933,5.476745456865887,54
B603X,ARTÀ-COLÒNIA DE SANT PERE,99,ILLES BALEARS,3980,14.798539959016393,22.646043533930854,1.802171691364333,,5.863470831534804,16
B605X,"MURO, S'ALBUFERA",2,ILLES BALEARS,4010,12.227629592350278,22.900906116284926,1.5941470735367682,1.8280440414507773,5.7352739723822515,6
B614E,MANACOR,100,ILLES BALEARS,4014,12.243732730469732,22.983195177091183,1.2777243994943108,2.512994491737606,6.040432660178935,3
B640X,PETRA,95,BALEARES,1751,12.280977011494254,24.027225732337733,1.3988558352402745,2.8638236977676015,6.219466482297674,32
B644B,SINEU,120,ILLES BALEARS,4003,12.133796764408494,23.102906976744187,1.3773513920240783,2.3671267252195736,6.297217894310788,5
B656A,SANTA MARÍA DEL CAMÍ,121,BALEARES,3801,11.810195227765727,23.616364128962342,1.2886183165696135,2.646772908366534,6.271766963312964,100
B662X,BINISSALEM,105,ILLES BALEARS,3987,11.474712643678162,23.79246680286006,1.2175165731769504,2.9350974930362117,6.424226976023681,12
B684A,"ESCORCA, SON TORRELLA",842,ILLES BALEARS,3997,7.2822363405336725,18.21814946619217,3.3592233009708736,,6.237704186267614,8
B691Y,SA POBLA,32,BALEARES,3968,12.036526181353768,23.891117917304747,1.4683082418984432,2.717040125065138,6.111604167832997,10
B760X,POLLENÇA,45,ILLES BALEARS,3992,12.696758673081792,24.00070904026336,2.1553068410462775,1.7458385717877798,5.970708318677802,11
B780X,PORT DE POLLENÇA,2,BALEARES,4008,13.372720326031585,23.763881813550686,1.7568818818818819,1.9084129032258066,5.668276206611083,50
B800X,"LA MOLA, MAÓ",78,ILLES BALEARS,3836,15.601392301392302,21.974160982264664,0.9268656716417912,8.161764705882353,5.426910778973993,32
B825B,ES MERCADAL,80,ILLES BALEARS,4011,14.368454179254783,21.750629405840886,1.6944513871532116,3.911857214178732,5.738625805650662,10
B860X,CIUTADELLA,20,ILLES BALEARS,3989,14.161976123952249,22.66652273304547,1.4650223038572554,,5.848328126100515,26
B870C,"CIUTADELLA, CALA GALDANA",43,BALEARES,3780,12.286416861826698,22.70286633518573,1.3347710487444608,2.104351880634131,5.814972728313672,305
B893,"MENORCA, AEROPUERTO",91,BALEARES,4018,13.481670822942643,21.997206982543638,1.6621052631578948,4.636331921255918,5.797739249699505,2
B908X,SANT JOAN DE LABRITJA,110,ILLES BALEARS,3897,11.261909704203424,23.474961079398028,1.374491110538521,,6.017101125600589,50
B925,SANT ANTONI DE PORTMANY,32,BALEARES,2569,13.006037884767167,23.848072383949646,1.12936320754717,1.8270800627943484,6.05823441353454,10
B954,"IBIZA, AEROPUERTO",6,ILLES BALEARS,4018,14.211052894211576,22.592939121756487,1.1993980848153216,4.005089820359282,5.742816560280664,2
B957,EIVISSA,3,BALEARES,3855,13.620827875294733,23.649842931937172,1.0558553386911596,2.4282964039229933,5.803832681888571,8
B986,FORMENTERA,24,BALEARES,3841,15.147798238590873,24.01309682582022,0.8760722347629797,2.8479097744360904,5.691913582863015,58
C018J,TÍAS,376,LAS PALMAS,4011,15.333041082164328,22.707890781563126,0.38939165409753645,6.101895261845387,3.228482302874518,2
C019V,YAIZA PLAYA BLANCA,6,LAS PALMAS,4003,18.33028383172833,24.055676634566648,0.1607379134860051,4.220416875941739,2.784827646044955,28
C038N,HARÍA,277,LAS PALMAS,4012,16.095155622489962,22.345833333333335,0.3069493226292022,5.181427858212681,3.1113559108534576,4
C048W,TINAJO,275,LAS PALMAS,3985,16.107647505697646,21.8437072676627,0.2525621511922882,5.594798994974874,2.864489207717634,6
C101A,ROQUE DE LOS MUCHACHOS,2223,SANTA CRUZ DE TENERIFE,2210,8.33266696955929,15.71026805997274,1.5777475022706628,4.718399264029438,5.641532010446235,32
C117A,PUNTAGORDA,684,STA. CRUZ DE TENERIFE,4014,13.583503868230595,21.266042914171653,0.9772681954137585,2.499227125405136,4.11799319916684,4
C117Z,TIJARAFE,733,STA. CRUZ DE TENERIFE,3961,14.167551697727854,21.4807390534042,0.5994944388270981,1.879862700228833,4.063260197097865,47
C129V,FUENCALIENTE,19,STA. CRUZ DE TENERIFE,4015,19.22773172569706,24.5983421250942,0.4242978936810431,6.4376999999999995,2.3495110048009513,5
C139E,LA PALMA AEROPUERTO,33,SANTA CRUZ DE TENERIFE,4018,18.807731305449938,23.724854319736508,0.6881670533642692,5.338500251635632,2.432156448406539,55
C148F,SAN ANDRÉS Y SAUCES,362,STA. CRUZ DE TENERIFE,3968,15.696671709531014,21.84606656580938,1.8466684155299056,2.8331975560081464,2.833597304118535,49
C229J,PÁJARA,15,LAS PALMAS,3904,19.159006867406234,25.369941891178026,0.15237971391417424,3.163247639034627,3.1156286459775586,19
C239N,"TUINEJE,PUERTO GRAN TARAJAL",1,LAS PALMAS,3985,18.36654021244309,25.465098634294385,0.1315548780487805,4.184677216779704,3.307574095924513,5
C248E,ANTIGUA,252,LAS PALMAS,3949,15.608163265306123,23.929984301412873,0.24013569937369522,5.434274809160304,3.337160473481693,33
C249I,FUERTEVENTURA AEROPUERTO,25,LAS PALMAS,4018,18.565228299046662,24.675965880582037,0.17430679216484357,6.124430538172716,2.8670741542350315,3
C258K,LA OLIVA,217,LAS PALMAS,4010,16.094532229746676,23.548883872585904,0.24678714859437753,3.93681716138688,3.133144138451342,3
C314Z,"VALLEHERMOSO, ALTO IGUALERO",1474,STA. CRUZ DE TENERIFE,3894,10.420515490757614,17.70832682799896,1.2326334888543287,6.972888774459321,6.070185753206416,60
C316I,ARURE,916,STA. CRUZ DE TENERIFE,2704,13.140281377267678,21.005401405845358,1.0336542164035425,5.647629629629629,4.926233754189775,1
C317B,AGULO,765,STA. CRUZ DE TENERIFE,4008,13.296562107904643,20.335558343789213,1.0917407878017789,2.033095541401274,3.6683717985341175,5
C319W,"VALLEHERMOSO, DAMA",190,STA. CRUZ DE TENERIFE,4017,16.633308345827086,26.085657171414294,0.2746759720837488,2.414853713428357,2.7948900806921464,11
C328W,HERMIGUA,252,STA. CRUZ DE TENERIFE,3954,16.187749936724877,22.246165527714503,0.7353588122078636,2.0703291139240503,2.701755149936973,37
C329Z,SAN SEBASTIÁN DE LA GOMERA,15,STA. CRUZ DE TENERIFE,4012,19.597332297332294,24.98090178802799,0.26497332994665984,3.429602615694165,2.8497793855884557,132
C406G,"LA OROTAVA, CAÑADAS TEIDE",2150,STA. CRUZ DE TENERIFE,3949,6.218449334698055,19.230151011005887,0.504313625983253,3.9770474967907576,5.276223399703699,27
C419L,LOMO DEL BALO,403,SANTA CRUZ DE TENERIFE,2477,16.423073803730738,24.237925445705024,0.35317428224828146,2.4810547667342795,3.162190162868547,180
C419X,ADEJE,130,SANTA CRUZ DE TENERIFE,4017,17.538421184111918,25.62358231326505,0.2410665337652629,1.769918699186992,2.64880092142947,2
C428T,ARICO,418,SANTA CRUZ DE TENERIFE,4018,15.288266068759341,23.318261086198305,0.5228753180661578,3.9179736121483693,3.2191685925041083,1
C429I,TENERIFE SUR AEROPUERTO,64,SANTA CRUZ DE TENERIFE,4018,18.210140210315473,26.060600750938672,0.23384499245093104,6.249836888331242,2.9386171822318916,2
C430E,IZAÑA,2369,SANTA CRUZ DE TENERIFE,4018,7.00191637630662,14.889422598307615,0.6696352201257862,7.00564681724846,5.886676874021043,0
C438N,CANDELARIA,463,SANTA CRUZ DE TENERIFE,4018,14.743562874251497,22.618043424007986,0.6659788626069452,2.968505116046918,3.6193876144040917,7
C439J,GÜÍMAR,115,SANTA CRUZ DE TENERIFE,4015,16.502595457948587,24.385675068629897,0.4056412850999241,4.309835630965005,2.924512938570884,4
C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",868,STA. CRUZ DE TENERIFE,3832,12.289633507853402,20.26452879581152,2.490368421052632,4.150905274206245,4.596905652546361,180
C447A,TENERIFE NORTE AEROPUERTO,632,SANTA CRUZ DE TENERIFE,4018,13.84798800299925,21.091914150237084,1.3695289367429337,5.649135121584357,3.723324203479853,2
C449C,STA.CRUZ DE TENERIFE,36,SANTA CRUZ DE TENERIFE,3992,19.237988966900705,25.442216094259212,0.5247971876690103,3.006192893401015,2.956514895848728,4
C449F,ANAGA,19,STA. CRUZ DE TENERIFE,4017,18.673760640961444,25.000601051840725,0.6640353089533416,2.342227784730914,3.065915357277168,20
C457I,LA VICTORIA DE ACENTEJO,567,STA. CRUZ DE TENERIFE,4004,12.909129778672032,20.667430153536365,1.5267523953605648,2.332587377420166,3.14556423837332,9
C458A,TACORONTE,310,STA. CRUZ DE TENERIFE,3998,15.813916750250751,22.64784353059178,0.9280040475588162,2.9501377410468317,2.7913144047268594,8
C459Z,PUERTO DE LA CRUZ,25,SANTA CRUZ DE TENERIFE,3979,18.431529709228826,24.63087231352718,0.6205600403632694,2.6062468257998987,2.4697795595141754,11
C468X,SAN JUAN DE LA RAMBLA,667,STA. CRUZ DE TENERIFE,2244,12.754879140555058,19.888535602328705,1.511150758251561,2.3730337078651687,3.4703955734758356,4
C611E,VEGA DE SAN MATEO,1702,LAS PALMAS,3973,9.294101123595507,18.421782431052094,1.3836027713625865,2.8713781809019903,6.102528383794152,6
C612F,"TEJEDA, CRUZ DE TEJEDA",1514,LAS PALMAS,3993,10.434439098505951,18.235502658900987,1.9231971153846152,2.3857142857142857,5.94710455845778,6
C614H,TEJEDA,1060,LAS PALMAS,3125,14.849501126488573,23.543450273575797,0.8527472527472526,2.6406019852705733,5.756152125940402,11
C619X,AGAETE,5,LAS PALMAS,3996,19.339204690288046,24.2325006372674,0.2940506329113924,4.862365321974441,2.657551721902967,14
C619Y,LA ALDEA DE SAN NICOLÁS,13,LAS PALMAS,3935,17.1413968901351,25.88720367066021,0.2785769929888341,5.592977303070761,3.0289597673710427,36
C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",1220,LAS PALMAS,3980,13.884889901290812,21.274689951910904,0.6778482618624715,1.916184243644601,6.0986762696393155,8
C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",806,LAS PALMAS,3957,15.352340966921119,24.090916030534352,0.4064425770308123,2.2561962569549823,5.284666905883604,35
C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",318,LAS PALMAS,3998,17.07228672387683,26.79687026754165,0.28312278928751894,3.9014257128564283,3.8755562814686173,6
C629Q,"MOGÁN, PUERTO RICO",10,LAS PALMAS,4009,19.47542627883651,23.872617853560683,0.10502386335091686,3.0012980529206192,2.3336116714135504,2
C629X,"MOGÁN, PUERTO",10,LAS PALMAS,4002,18.35250444952962,25.615942028985508,0.1258402796450659,3.0310327581895473,2.592615203150393,5
C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",960,LAS PALMAS,4009,14.095534370296036,24.45639739086804,0.6531289268660466,1.643748440229598,5.741065467909238,5
C639M,"MASPALOMAS, C. INSULAR TURISMO",45,LAS PALMAS,3984,18.882464574898787,25.470926113360324,0.16625127161749748,2.7668173825671944,2.9596849948183603,7
C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",41,LAS PALMAS,3995,17.94321798433948,25.766153068956807,0.2057974683544304,5.274712068102153,3.1516403116514082,6
C648C,AGÜIMES,306,LAS PALMAS,3983,16.963137852246764,25.363823305407465,0.45722998729351966,5.915949685534591,4.127301398316693,6
C648N,"TELDE, CENTRO FORESTAL DORAMAS",344,LAS PALMAS,3781,15.95819650067295,23.331144010767158,0.633648904517176,3.671420996818664,3.7546644992701617,6
C649I,GRAN CANARIA AEROPUERTO,24,LAS PALMAS,4018,18.757187017001545,24.890443070582176,0.3321928460342146,7.578953953953954,2.8252902071712693,11
C649R,"TELDE, MELENARA",9,LAS PALMAS,4001,18.322227835311946,24.042359181611513,0.3037750190017735,4.194918648310388,2.720780150553441,8
C656V,TEROR,683,LAS PALMAS,3998,12.014185287471754,21.411172483052976,1.5745532343317394,2.1047547547547545,3.77225563211457,11
C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",269,LAS PALMAS,4012,16.442857142857143,21.87530181086519,0.6569770375977795,3.0894041386187983,2.8154668770243583,2
C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",55,LAS PALMAS,3864,18.620747498528548,23.777398469688052,0.3739405106607002,4.039625097630825,2.463426513075354,329
C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",15,LAS PALMAS,3957,19.542143047061952,23.664956128689177,0.42194179757919137,2.197720364741641,2.403554942248385,68
C665T,VALLESECO,900,LAS PALMAS,4006,12.210266064257027,21.023493975903616,1.7143217347453354,2.618556443556444,4.550235838550327,5
C668V,AGAETE - SUERTE ALTA,352,LAS PALMAS,3349,16.602259136212627,22.989302325581395,0.6468162322665787,4.6487906837862045,3.574196428485009,5
C669B,ARUCAS,86,LAS PALMAS,3997,17.917867071013394,23.237958049027043,0.38815656565656564,2.473435152729094,2.4832409658388586,6
C689E,MASPALOMAS,6,LAS PALMAS,3857,17.888151174668028,24.404032669729453,0.133236074270557,3.2733610822060353,2.499024053948292,1854
C839X,LA GRACIOSA,19,LAS PALMAS,3857,18.084447368421053,24.271789473684212,0.22752100840336134,6.107964309319233,2.595469502563529,45
C916Q,"EL PINAR, DEPÓSITO",948,STA. CRUZ DE TENERIFE,4018,12.099146586345382,20.62088353413655,1.104780876494024,2.183066933066933,5.072598949694303,12
C917E,"EL PINAR, LA DEHESA",713,STA. CRUZ DE TENERIFE,3891,14.301739807842118,21.52546632124352,0.7488448844884488,4.89701376265905,4.557925138054604,86
C919K,TACORON-LAPILLAS-TORTUGA,98,STA. CRUZ DE TENERIFE,3812,18.73472746896924,25.307231516459797,0.22846735024284945,3.269469737546866,2.522875789570587,135
C925F,"SAN ANDRÉS, VALVERDE",1070,STA. CRUZ DE TENERIFE,3609,10.64769359798714,18.546392617449662,1.452078713968958,4.124230662600499,4.659029834231703,409
C928I,VALVERDE,670,STA. CRUZ DE TENERIFE,2022,14.43904007916873,19.315693069306928,0.9333672949566988,5.350395647873393,3.206305538074573,1
C929I,HIERRO AEROPUERTO,32,SANTA CRUZ DE TENERIFE,4018,19.798804185351273,23.75171898355755,0.35531041559774246,6.5463927855711415,2.2796077391560092,2
C939T,"FRONTERA, SABINOSA",20,STA. CRUZ DE TENERIFE,4018,18.982667332667333,23.948751248751247,0.4031123919308358,3.2189324020952856,2.419362887728501,2
