indicativo,nombre,altitud,provincia,num_records,avg_tmin,avg_tmax,avg_prec,avg_velmedia,std_tmed,longest_gap_days
8005X,FONTANARS DELS ALFORINS,622,VALENCIA,3134,8.796965825614821,22.522963909294152,1.107053394858273,,6.800193757750854,1
8008Y,VILLENA,486,ALICANTE,3997,7.910912748302741,23.52770932863968,0.7761472785485592,3.440367665575422,6.657673230417079,13
8013X,NOVELDA,233,ALICANTE,4012,13.774157020634123,24.83847508807247,0.8389521640091115,,6.155313643648426,18
8018X,ELX/ELCHE,110,ALICANTE,4005,13.067685699848408,25.58953752843063,0.7820873055694932,,5.849656255226379,16
8019,ALICANTE-ELCHE AEROPUERTO,43,ALICANTE,4018,14.166725131545977,24.173139564019042,1.0002074150894478,3.781588176352705,5.797840561403927,2
8025,ALACANT/ALICANTE,81,ALICANTE,4018,14.246523797657613,24.2267630201844,0.8325209643605869,2.2138673341677095,5.765039125208788,2
8036Y,BENIDORM,36,ALICANTE,3556,14.03253114382786,23.80277463193658,0.8317554240631163,2.0978136562394885,5.717233299961301,449
8050X,JÁVEA/ XÀBIA,15,ALICANTE,3940,13.165123456790123,24.25347222222222,1.4274402907580477,2.9131005513258073,5.834607685226364,57
8057C,PEGO,60,ALICANTE,4001,15.235322135873652,24.632689897217347,2.0582389937106917,2.0242735470941886,6.080080000737046,10
8058X,OLIVA,1,VALENCIA,324,13.364259927797832,21.64476534296029,2.05718954248366,,6.050680245999987,117
8058Y,MIRAMAR,12,VALENCIA,4004,15.368878317476215,23.521882824236354,1.6460853626603822,2.5134460547504025,5.834993577719279,16
8059C,ALCOI/ALCOY,530,ALICANTE,3987,11.711876424411242,22.989009875917954,1.3272081218274114,2.275831429296775,6.620417602728543,29
8072Y,BARX,340,VALENCIA,4008,11.788142493638677,22.91760814249364,3.02936031984008,2.088001002004008,6.29035724988537,8
8096,CUENCA,949,CUENCA,4018,8.233200597312095,21.33464410154306,1.3480283911671924,1.8277252364360377,7.590786191040857,0
8155Y,MOTILLA DEL PALANCAR,830,CUENCA,3778,7.9133082908505505,21.31993560504427,1.1186509002956195,2.7068362480127184,7.669640861531246,86
8175,ALBACETE BASE AÉREA,702,ALBACETE,4018,8.713837730214037,22.341811846689897,0.9929107373868048,3.836507537688442,7.7561739572283,0
8177A,CHINCHILLA,880,ALBACETE,3595,8.204456054087277,20.569821757836507,1.0906712172923778,3.7034869976359337,7.570924308072191,254
8193E,JALANCE,372,VALENCIA,3993,9.53557910673732,23.903229876356296,1.1451385390428213,1.7204488149268786,7.261455790817163,16
8198Y,ALMANSA,710,ALBACETE,3944,8.041117404737385,22.303836251287333,1.0953068592057762,1.7709151159826662,7.025661502957706,29
8203O,ZARRA,856,VALENCIA,3610,10.871564828614009,19.693591654247392,0.9176333430486738,,7.180024596361105,158
8210Y,SALVACAÑETE,1160,CUENCA,3451,4.009328014728445,19.30177968702056,1.453606411398041,2.244947209653092,6.8987576621374584,378
8245Y,MIRA,815,CUENCA,3553,5.075788869764773,21.1903040734366,1.168037703513282,,6.904371933745397,29
8270X,BICORP,305,VALENCIA,4009,11.528156082631982,24.063096148941597,1.4978814627994956,1.8918184085806933,6.369293054791993,9
8283X,ONTINYENT,350,VALENCIA,4018,11.413821544613846,24.289877530617343,1.5938676844783715,1.1618204488778054,6.78835596993535,3
8293X,XÀTIVA,88,VALENCIA,4005,12.817728319263239,25.636326426195957,1.3678043536683688,2.5190023142195943,6.632586040458562,71
8300X,CARCAIXENT,25,VALENCIA,4013,12.23302407221665,25.358550651955866,2.051321695760598,2.3179026217228467,6.357316048217554,6
